Name,Age,AverageDrive,DrivingAccuracy,GreensonRegulation,AverageNumofPutts,SavePercent,MoneyRank,NumEvents,TotalWinnings,AverageWinnings
Aaron Baddeley,23,288,53.1,58.2,1.767,50.9,123,27,632878,23440
Adam Scott,24,295.4,57.7,65.6,1.757,59.3,7,16,3724984,232812
Alex Cejka,34,285.8,64.2,63.8,1.795,50.7,54,24,1313484,54729
Andre Stolz,34,297.9,59,63,1.787,47.7,101,20,808373,40419
Arjun Atwal,31,289.4,60.5,62.5,1.766,43.5,146,30,486053,16202
Arron Oberholser,29,284.6,68.8,67,1.78,50.9,52,23,1355433,58932
Bart Bryant,42,282.1,74.2,68.9,1.777,40.4,80,23,962167,41833
Ben Crane,28,283.8,64.4,64.2,1.74,53.8,75,27,1036958,38406
Ben Curtis,27,282.1,64.3,63.4,1.809,42.2,141,20,500818,25041
Bernhard Langer,47,282.2,62.6,65.3,1.777,47.7,83,15,943589,62906
Billy Andrade,40,283.5,59.7,64.4,1.773,50.5,124,31,631143,20359
Billy Mayfair,38,285.2,70.1,66,1.829,49.7,140,32,503252,15727
Blaine McCalliste,46,280.9,63.4,63.6,1.808,42.3,198,27,162701,6026
Bo Van Pelt,29,294.4,65.1,67.7,1.768,43.1,39,30,1553826,51794
Bob Burns,36,276.1,67.2,62.3,1.769,51.9,130,30,581421,19381
Bob Estes,38,278.2,63.9,64.2,1.756,44.8,74,23,1046064,45481
Bob Tway,45,278.2,63.7,64.8,1.788,46.9,79,26,966554,37175
Brad Faxon,43,273.7,61.6,61.4,1.749,52.9,76,28,1016899,36318
Brenden Pappas,34,298.9,50.1,63,1.759,55.6,137,34,524907,15438
Brent Geiberger,36,291.3,64.8,64.9,1.775,49.3,57,31,1259780,40638
Brett Quigley,35,294.3,57.2,65.8,1.78,52.7,97,31,836382,26980
Brian Bateman,31,292.2,66.1,66.6,1.766,48.5,86,24,919256,38302
Brian Gay,33,279.7,64.8,61.5,1.737,52.2,122,32,645196,20162
Brian Kortan,33,292.4,63,62,1.844,52.1,200,24,159939,6664
Briny Baird,32,289.4,65,70.6,1.78,42.1,69,30,1156517,38551
Cameron Beckman,34,291.2,66.5,67,1.771,47.3,107,30,779189,25973
Carl Pettersson,27,290.8,61.1,64.5,1.733,52.9,51,28,1367963,48856
Carlos Franco,39,290.6,59.3,67.8,1.798,47.1,29,27,1955395,72422
Chad Campbell,30,288,63.9,67.7,1.799,46.1,24,28,2264985,80892
Charles Howell II,25,288.5,64.3,66.1,1.802,48.9,33,30,1703485,56783
Chris Couch,31,302.1,56.2,60.8,1.796,34.2,217,24,100283,4178
Chris DiMarco,36,277.3,68.6,67.1,1.752,50.6,12,27,2971843,110068
Chris Riley,31,277.3,61.8,62.5,1.766,51.6,56,23,1292732,56206
Chris Smith,35,304,59.5,70.4,1.811,33.2,115,33,692785,20993
Cliff Kresge,36,283.4,62.8,60.5,1.802,45.7,175,33,258061,7820
Corey Pavin,45,268.2,71.9,62.1,1.762,57.4,89,23,881938,38345
Craig Barlow,32,291,67.8,67.7,1.787,52.9,128,25,595820,23833
Craig Bowden,36,270.8,76.1,62.9,1.791,53.1,143,30,494569,16486
Craig Parry,38,276.9,63.5,60.7,1.797,55.3,55,16,1308586,81787
Craig Perks,37,289.4,54.4,63,1.815,50.5,152,27,423749,15694
D.J. Brigman,28,290.7,63.9,65.8,1.81,49.6,160,27,356943,13220
Dan Forsman,46,281.9,64.3,63.1,1.811,62.3,165,28,315540,11269
Dan Olsen,37,296,51.5,60.7,1.778,41.4,207,31,135731,4378
Daniel Chopra,30,295.9,58.6,63.9,1.748,52.2,108,33,763253,23129
Danny Briggs,44,283.8,65.5,68.1,1.792,45.6,157,28,397606,14200
Danny Ellis,34,286.7,62.9,63.9,1.757,54,144,26,490414,18862
Darren Clarke,36,289,62.3,64,1.745,46.2,28,16,2009819,125614
David Branshaw,35,285.8,66.6,66.2,1.796,43.2,169,30,293617,9787
David Frost,45,273.6,66.1,63.7,1.802,60.1,155,26,402589,15484
David Gossett,25,283.8,54.4,54.7,1.847,47.7,245,25,21250,850
David Morland IV,35,272.8,69.4,60.1,1.786,49.2,197,27,164435,6090
David Peoples,44,281.3,63.7,64,1.779,50,147,26,479465,18441
David Toms,37,285.3,63.4,68.5,1.758,55.7,22,24,2357531,98230
Davis Love III,40,300.1,60.1,63.4,1.753,51.9,10,24,3075094,128129
Dean Wilson,34,282.2,63,62,1.755,52.4,133,33,561341,17010
Deane Pappas,37,295.3,60.1,63.4,1.776,44.1,161,22,346632,15756
Dennis Paulson,42,300.1,60.4,63,1.774,61.1,117,21,677035,32240
Dicky Pride,35,280.5,68.3,62.6,1.842,41.5,184,23,230329,10014
Dudley Hart,36,285.6,63.1,64.2,1.784,45.6,92,23,854638,37158
Duffy Waldorf,42,285.4,68.6,69,1.77,41.3,46,26,1487912,57227
Ernie Els,35,298,55.5,65.6,1.74,47.9,2,16,5787225,361702
Esteban Toledo,42,275.2,67.8,60.1,1.795,51.8,211,36,115185,3200
Frank Lickliter I,35,287.3,66.6,64.8,1.759,40.8,58,27,1259235,46638
Fred Couples,45,294.5,58.8,66.3,1.781,47.1,50,16,1396109,87257
Fred Funk,48,271.9,77.2,65.5,1.769,54.6,25,29,2103732,72542
Fredrik Jacobson,30,287.9,55.6,64.4,1.75,43.9,59,24,1259048,52460
Gene Sauers,42,280.2,66.2,62,1.788,42.7,170,30,287150,9572
Geoff Ogilvy,27,303.3,63.2,66.9,1.752,61,61,26,1236909,47573
Glen Day,39,286.1,65.6,61.8,1.749,47.5,138,33,519935,15756
Grant Waite,40,288.3,59.4,62.8,1.808,43.8,180,29,239319,8252
Greg Chalmers,31,287.3,61.7,60.6,1.726,57.7,156,22,402380,18290
Guy Boros,40,281.1,66.3,60.3,1.81,42.5,208,24,130783,5449
Hank Kuehne,29,314.4,49.9,62.9,1.765,59.3,99,30,816889,27230
Harrison Frazar,33,298.8,64.3,65.2,1.748,51.7,48,25,1446765,57871
Heath Slocum,30,280.1,71.3,67.1,1.788,54.3,72,31,1066838,34414
Hidemichi Tanaka,33,281,72.3,66.1,1.78,41.6,104,27,795206,29452
Hirofumi Miyase,33,279.7,70.6,60.4,1.823,43.9,199,27,162120,6004
Hunter Mahan,22,293,62.2,63.7,1.775,45.8,100,30,813089,27103
J.J. Henry,29,301.3,64.5,66.6,1.788,41.7,93,30,848823,28294
J.L. Lewis,44,288.3,65.5,65.8,1.769,49.1,102,32,807344,25230
J.P. Hayes,39,280.7,67.7,63.6,1.776,46.2,174,27,260816,9660
Jason Bohn,31,293.3,65.8,66.8,1.778,42,131,29,567931,19584
Jason Dufner,27,290.7,62.5,65.3,1.79,52.5,164,28,317770,11349
Jay Delsing,44,288.8,62.1,64.5,1.797,51.3,193,26,190184,7315
Jay Haas,51,274.5,65.4,66.9,1.758,56.1,27,23,2071626,90071
Jay Williamson,37,288.1,69.3,65.4,1.776,56.3,120,33,660038,20001
Jeff Brehaut,41,290.9,71.3,66.2,1.81,46.4,149,34,448914,13203
Jeff Maggert,40,281.2,69.2,67.5,1.789,49.5,43,20,1527883,76394
Jeff Sluman,47,279.6,67.9,68.8,1.777,45.9,77,28,1007635,35987
Jerry Kelly,38,278.1,70.4,68,1.763,52.8,17,29,2496223,86077
Jesper Parnevik,39,287.9,60,66.1,1.759,51.9,40,24,1550135,64589
Joe Durant,40,287.2,75.1,73.3,1.798,41.7,81,26,952548,36636
Joe Ogilvie,30,288.8,61.3,62.5,1.755,47.7,49,32,1443363,45105
Joey Sindelar,46,291.5,65.6,67.6,1.811,35.1,41,31,1536882,49577
John Cook,47,270.2,73.4,66.5,1.789,50,189,19,210448,11076
John Daly,38,306,53,66.4,1.736,54.8,21,22,2359507,107250
John Huston,43,286.4,65.9,68.8,1.804,55.9,90,20,874280,43714
John Riegger,41,285,61.4,67.1,1.773,38.9,153,17,423263,24898
John Rollins,29,286.7,69.1,62.5,1.764,46.1,109,29,737957,25447
John Senden,33,296.6,65.6,70.5,1.791,50.6,114,28,698203,24936
Jonathan Byrd,26,295.8,62.1,61.4,1.76,56,70,27,1133166,41969
Jonathan Kaye,34,290.9,64.7,66.5,1.803,42.2,34,25,1695333,67813
Jose Coceres,41,279.4,74.3,63.3,1.754,61.7,106,20,779197,38960
Jose Maria Olazab,38,277.7,57,62.5,1.745,51.2,142,17,495051,29121
Justin Leonard,32,282.9,67.4,66.1,1.769,54,42,25,1531023,61241
Justin Rose,24,290.7,61.5,67.7,1.762,49.4,62,22,1236765,56217
K.J. Choi,34,285,61.2,65.9,1.77,45.8,26,24,2077775,86574
Ken Duke,35,284.3,59,61.9,1.785,47.9,166,30,301308,10044
Kenny Perry,44,295.9,62.5,68.6,1.776,45.8,30,23,1952043,84871
Kent Jones,37,286.4,69.8,67.4,1.776,46.5,119,32,674910,21091
Kevin Muncrief,28,290.7,56.1,59.1,1.823,47,244,21,21660,1031
Kevin Na,21,280.1,68.7,63.4,1.775,49.7,87,32,901159,28161
Kevin Sutherland,40,286.1,67.1,63,1.799,53.7,85,27,928759,34398
Kirk Triplett,42,279.1,72.1,67.7,1.752,49.3,38,24,1566426,65268
Kris Cox,31,299.1,59,62,1.808,41.9,190,26,205171,7891
Lee Janzen,40,286.1,62.2,67.8,1.781,51.5,96,25,837482,33499
Len Mattiace,37,278,67.2,59.1,1.792,60.2,188,25,213707,8548
Loren Roberts,49,269.1,69.8,66.6,1.738,59.3,78,22,998677,45394
Lucas Glover,25,303.4,64.4,67.5,1.797,48.4,134,30,557454,18582
Luke Donald,27,279.8,69.6,69.4,1.791,52.2,35,21,1646267,78394
Mark Brooks,43,273.8,66.8,59.8,1.796,43.5,173,31,264076,8519
Mark Calcavecchia,44,291.3,64.5,64.1,1.765,52.3,112,24,717876,29912
Mark Hensby,33,284.6,67.7,63.3,1.738,54,15,29,2718765,93751
