Observation,Time,VoltageDrop
1,0,8.33
2,0.5,8.23
3,1,7.17
4,1.5,7.14
5,2,7.31
6,2.5,7.6
7,3,7.94
8,3.5,8.3
9,4,8.76
10,4.5,8.71
11,5,9.71
12,5.5,10.26
13,6,10.91
14,6.5,11.67
15,7,11.76
16,7.5,12.81
17,8,13.3
18,8.5,13.88
19,9,14.59
20,9.5,14.05
21,10,14.48
22,10.5,14.92
23,11,14.37
24,11.5,14.63
25,12,15.18
26,12.5,14.51
27,13,14.34
28,13.5,13.81
29,14,13.79
30,14.5,13.05
31,15,13.04
32,15.5,12.6
33,16,12.05
34,16.5,11.15
35,17,11.15
36,17.5,10.14
37,18,10.08
38,18.5,9.78
39,19,9.8
40,19.5,9.95
41,20,9.51
