Day of month	Flight Number	Tail Number	Destination airport	Airborne time (minutes)	Distance  (miles)
1	833	N619DL	ABQ	179	1267
1	1125	N660DL	ABQ	179	1267
1	1589	N678DL	ABQ	183	1267
2	833	N659DL	ABQ	172	1267
2	1125	N656DL	ABQ	181	1267
2	1589	N665DN	ABQ	184	1267
3	833	N686DA	ABQ	175	1267
3	1589	N635DL	ABQ	179	1267
3	1125	N692DL	ABQ	183	1267
4	1589	N631DL	ABQ	173	1267
4	833	N688DL	ABQ	179	1267
4	1125	N660DL	ABQ	182	1267
5	1589	N659DL	ABQ	172	1267
5	833	N624DL	ABQ	173	1267
5	1125	N608DA	ABQ	182	1267
6	833	N677DL	ABQ	159	1267
6	1125	N679DA	ABQ	164	1267
6	1589	N666DN	ABQ	166	1267
7	1589	N602DL	ABQ	167	1267
7	1125	N665DN	ABQ	175	1267
7	833	N616DL	ABQ	177	1267
8	1125	N672DL	ABQ	162	1267
8	833	N606DL	ABQ	171	1267
8	1589	N689DL	ABQ	172	1267
9	1589	N611DL	ABQ	165	1267
9	833	N680DA	ABQ	169	1267
9	1125	N675DL	ABQ	172	1267
10	1125	N617DL	ABQ	157	1267
10	1589	N688DL	ABQ	161	1267
10	833	N671DN	ABQ	163	1267
11	833	N667DN	ABQ	162	1267
11	1125	N626DL	ABQ	167	1267
11	1589	N614DL	ABQ	170	1267
12	833	N673DL	ABQ	175	1267
12	1125	N676DL	ABQ	176	1267
13	1125	N652DL	ABQ	175	1267
13	833	N630DL	ABQ	181	1267
13	1589	N604DL	ABQ	181	1267
14	1589	N657DL	ABQ	169	1267
14	1125	N617DL	ABQ	170	1267
14	833	N606DL	ABQ	171	1267
15	1125	N641DL	ABQ	176	1267
15	833	N626DL	ABQ	177	1267
15	1589	N688DL	ABQ	180	1267
16	1589	N634DL	ABQ	174	1267
16	833	N664DN	ABQ	177	1267
16	1125	N630DL	ABQ	179	1267
17	1125	N657DL	ABQ	182	1267
17	1589	N673DL	ABQ	184	1267
17	833	N658DL	ABQ	194	1267
18	1589	N692DL	ABQ	170	1267
18	1125	N681DA	ABQ	172	1267
18	833	N687DL	ABQ	176	1267
19	833	N686DA	ABQ	172	1267
19	1589	N653DL	ABQ	178	1267
19	1125	N677DL	ABQ	193	1267
20	833	N654DL	ABQ	172	1267
20	1589	N667DN	ABQ	176	1267
20	1125	N659DL	ABQ	177	1267
21	1125	N625DL	ABQ	176	1267
21	1589	N635DL	ABQ	176	1267
21	833	N688DL	ABQ	179	1267
22	1125	N622DL	ABQ	181	1267
22	1589	N669DN	ABQ	181	1267
22	833	N608DA	ABQ	190	1267
23	1589	N628DL	ABQ	185	1267
23	833	N692DL	ABQ	186	1267
23	1125	N633DL	ABQ	186	1267
24	1125	N605DL	ABQ	172	1267
24	833	N608DA	ABQ	176	1267
24	1589	N636DL	ABQ	180	1267
25	833	N665DN	ABQ	165	1267
25	1125	N616DL	ABQ	171	1267
25	1589	N680DA	ABQ	177	1267
26	1589	N612DL	ABQ	169	1267
26	1125	N609DL	ABQ	175	1267
26	833	N603DL	ABQ	186	1267
27	1125	N619DL	ABQ	172	1267
27	1589	N610DL	ABQ	174	1267
27	833	N615DL	ABQ	175	1267
28	1125	N673DL	ABQ	172	1267
28	1589	N683DA	ABQ	176	1267
28	833	N688DL	ABQ	177	1267
29	833	N637DL	ABQ	177	1267
29	1589	N751AT	ABQ	181	1267
29	1125	N661DN	ABQ	184	1267
30	1589	N607DL	ABQ	182	1267
30	833	N619DL	ABQ	184	1267
30	1125	N626DL	ABQ	184	1267
31	1589	N668DN	ABQ	177	1267
31	1125	N629DL	ABQ	181	1267
31	833	N661DN	ABQ	194	1267
1	894	N915DE	ALB	110	853
1	342	N927DA	ALB	111	853
1	844	N952DL	ALB	112	853
1	768	N917DL	ALB	114	853
2	894	N940DL	ALB	105	853
2	342	N907DL	ALB	107	853
2	768	N937DL	ALB	108	853
2	844	N928DL	ALB	114	853
3	894	N906DL	ALB	110	853
3	342	N926DL	ALB	111	853
3	768	N950DL	ALB	112	853
3	844	N922DL	ALB	112	853
4	342	N969DL	ALB	109	853
4	894	N907DE	ALB	112	853
4	844	N943DL	ALB	113	853
4	768	N964DL	ALB	121	853
5	342	N945DL	ALB	110	853
5	768	N938DL	ALB	112	853
