"lifespan","group","thorax"
46,"control",0.64
42,"control",0.68
65,"control",0.72
46,"control",0.76
58,"control",0.76
42,"control",0.8
48,"control",0.8
58,"control",0.8
50,"control",0.82
80,"control",0.82
63,"control",0.84
65,"control",0.84
70,"control",0.84
70,"control",0.84
72,"control",0.84
97,"control",0.84
46,"control",0.88
56,"control",0.88
70,"control",0.88
70,"control",0.88
72,"control",0.88
76,"control",0.88
90,"control",0.88
76,"control",0.92
92,"control",0.92
21,"treatment",0.68
40,"treatment",0.68
44,"treatment",0.72
54,"treatment",0.76
36,"treatment",0.78
40,"treatment",0.8
56,"treatment",0.8
60,"treatment",0.8
48,"treatment",0.84
53,"treatment",0.84
60,"treatment",0.84
60,"treatment",0.84
65,"treatment",0.84
68,"treatment",0.84
60,"treatment",0.88
81,"treatment",0.88
81,"treatment",0.88
48,"treatment",0.9
48,"treatment",0.9
56,"treatment",0.9
68,"treatment",0.9
75,"treatment",0.9
81,"treatment",0.9
48,"treatment",0.92
68,"treatment",0.92
