Customer,Usage,Demand
1,679,0.79
2,292,0.44
3,1012,0.56
4,493,0.79
5,582,2.7
6,1156,3.64
7,997,4.73
8,2189,9.5
9,1097,5.34
10,2078,6.85
11,1818,5.84
12,1700,5.21
13,747,3.25
14,2030,4.43
15,1643,3.16
16,414,0.5
17,354,0.17
18,1276,1.88
19,745,0.77
20,435,1.39
21,540,0.56
22,874,1.56
23,1543,5.28
24,1029,0.64
25,710,4
26,1434,0.31
27,837,4.2
28,1748,4.88
29,1381,3.48
30,1428,7.58
31,1255,2.63
32,1777,4.99
33,370,0.59
34,2316,8.19
35,1130,4.79
36,463,0.51
37,770,1.74
38,724,4.1
39,808,3.94
40,790,0.96
41,783,3.29
42,406,0.44
43,1242,3.24
44,658,2.14
45,1746,5.71
46,468,0.64
47,1114,1.9
48,413,0.51
49,1787,8.33
50,3560,14.94
51,1495,5.11
52,2221,3.85
53,1526,3.93
